Player_Name,Matches,Runs,Batting_Avg,Strike_Rate,Wickets,Economy
AA Chavan,3,0.0013839234229039326,0.057971014492753624,0.36363636363636365,0.03619909502262444,0.03137254901960784
AA Jhunjhunwala,15,0.02502594856417945,0.20966183574879227,0.3318042813455658,0.004524886877828055,0.011363636363636364
AA Kulkarni,2,0.0010379425671779494,0.06521739130434782,0.375,0.0,0.0
AA Noffke,1,0.0010379425671779494,0.13043478260869565,0.25,0.004524886877828055,0.039999999999999994
AB Agarkar,18,0.02064352439165033,0.14412238325281804,0.3729166666666666,0.13122171945701358,0.03536585365853659
AB Barath,3,0.004843731980163764,0.2028985507246377,0.3255813953488372,0.0,0.0
AB Dinda,16,0.0029985007496251873,0.02355072463768116,0.17333333333333334,0.31221719457013575,0.0434235368156073
AB McDonald,9,0.01418521508476531,0.19806763285024154,0.39805825242718446,0.0497737556561086,0.05851063829787234
AB de Villiers,170,0.5975089378387729,0.44168797953964195,0.49526813880126186,0.0,0.0
AC Blizzard,7,0.013839234229039326,0.2484472049689441,0.43956043956043955,0.0,0.0
AC Gilchrist,80,0.2386114634990197,0.37481884057971016,0.4435155412647374,0.004524886877828055,1.0
AC Thomas,4,0.002306539038173221,0.07246376811594203,0.3508771929824561,0.06334841628959277,0.04281345565749235
AC Voges,7,0.02087417829546765,0.3747412008281574,0.421911421911422,0.0,0.0
AD Hales,6,0.017068388882481834,0.35748792270531404,0.41456582633053224,0.0,0.0
AD Mascarenhas,11,0.009110829200784223,0.10408432147562582,0.33333333333333337,0.08597285067873305,0.06129032258064516
AD Mathews,41,0.0834967131818706,0.255920820077766,0.40289371174179195,0.12217194570135748,0.03345724907063197
AD Nath,10,0.010379425671779494,0.13043478260869565,0.30303030303030304,0.0,0.0
AD Russell,114,0.3061930573174951,0.33752860411899316,0.5442804428044281,0.5565610859728507,0.06525198938992041
AF Milne,6,0.002652519893899204,0.05555555555555556,0.24731182795698925,0.031674208144796386,0.03225806451612903
AG Murtaza,3,0.0011532695190866105,0.04830917874396135,0.2380952380952381,0.04072398190045249,0.03345724907063197
AG Paunikar,5,0.005651020643524391,0.14202898550724638,0.2677595628415301,0.0,0.0
AJ Finch,90,0.24126398339291893,0.33687600644122384,0.4111635220125786,0.004524886877828055,0.022727272727272728
AJ Hosein,1,0.0018452312305385769,0.2318840579710145,0.4848484848484849,0.004524886877828055,0.041666666666666664
AJ Turner,6,0.002767846845807865,0.057971014492753624,0.2580645161290323,0.0,0.0
AJ Tye,13,0.010494752623688156,0.10144927536231885,0.3839662447257384,0.1900452488687783,0.058823529411764705
AK Markram,55,0.1660708107484719,0.37944664031620556,0.4391582799634035,0.027149321266968326,0.031413612565445025
AL Menaria,23,0.04624610771537308,0.2526780088216761,0.36421435059037244,0.013574660633484163,0.02654867256637168
AM Nayar,50,0.07749971168262022,0.19478260869565217,0.38095238095238093,0.04072398190045249,0.03765690376569037
AM Rahane,183,0.5803252220043824,0.39851112695018615,0.405839180579079,0.004524886877828055,0.16666666666666666
AN Ahmed,6,0.0041517702687117975,0.08695652173913043,0.4444444444444444,0.05429864253393665,0.03314917127071823
AN Ghosh,2,0.0008072886633606274,0.050724637681159424,0.2916666666666667,0.0,0.0
